Generated by Tarma® Installer 5.9.4239 (2011.08.09.0857U)
© 1990-2011 Tarma Software Research Pty Ltd. All rights reserved.

Log file opened at 2012-10-01 08:33:47

0004A086|BLD:W0135|0000|C8ABE362C24AA1FB|WCFService_1.0.0.0_L_324ce6ec82b21bc0_MSIL_49D741E753FA42A6|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|73AEBED5A7C30F35|BusinessObjects_1.0.0.0_L_4900a3018a0a89d6_MSIL_591DCC6B34B46963|Component contains no installation objects
0004A086|BLD:W0135|0000|73AEBED5A7C30F35|BusinessObjects_1.0.0.0_L_4900a3018a0a89d6_MSIL_591DCC6B34B46963|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|796D50AEFEB2DC3D|EntitySpaces.DynamicQuery_2012.1.930.0_653e033684908f9c_1F9038F820E2230B|Component contains no installation objects
0004A086|BLD:W0135|0000|796D50AEFEB2DC3D|EntitySpaces.DynamicQuery_2012.1.930.0_653e033684908f9c_1F9038F820E2230B|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|63FAB875251F925F|EntitySpaces.DynamicQuery_2012.1.930.0_653e033684908f9c_3A898557A70E5B61|Component contains no installation objects
0004A086|BLD:W0135|0000|63FAB875251F925F|EntitySpaces.DynamicQuery_2012.1.930.0_653e033684908f9c_3A898557A70E5B61|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|AC5C76A1F1C27EE0|EntitySpaces.DynamicQuery.WP7_2012.1.0.0_L_943d66cdee16_B5E45A054B442FC3|Component contains no installation objects
0004A086|BLD:W0135|0000|AC5C76A1F1C27EE0|EntitySpaces.DynamicQuery.WP7_2012.1.0.0_L_943d66cdee16_B5E45A054B442FC3|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|C892C0E331B02C21|EntitySpaces.DynamicQuery.CF_2012.1.930.0_653e033684908_DE762D0743667DB3|Component contains no installation objects
0004A086|BLD:W0135|0000|C892C0E331B02C21|EntitySpaces.DynamicQuery.CF_2012.1.930.0_653e033684908_DE762D0743667DB3|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|B88B4DE142E2DF47|EntitySpaces.DynamicQuery_2012.1.930.0_653e033684908f9c_692ED3BA6E1129F7|Component contains no installation objects
0004A086|BLD:W0135|0000|B88B4DE142E2DF47|EntitySpaces.DynamicQuery_2012.1.930.0_653e033684908f9c_692ED3BA6E1129F7|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|B15E7A79B83F1574|EntitySpaces.DynamicQuery_2012.1.930.0_653e033684908f9c_AE444F30E1D3B38E|Component contains no installation objects
0004A086|BLD:W0135|0000|B15E7A79B83F1574|EntitySpaces.DynamicQuery_2012.1.930.0_653e033684908f9c_AE444F30E1D3B38E|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|E73EE083BFFB440E|EntitySpaces.DynamicQuery.Silverlight_2012.1.930.0_653e_D90618A3E4F2F313|Component contains no installation objects
0004A086|BLD:W0135|0000|E73EE083BFFB440E|EntitySpaces.DynamicQuery.Silverlight_2012.1.930.0_653e_D90618A3E4F2F313|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|25C7DC1712FBEF4D|EntitySpaces.DynamicQuery.Silverlight_2012.1.930.0_653e_1E0659BAD1976663|Component contains no installation objects
0004A086|BLD:W0135|0000|25C7DC1712FBEF4D|EntitySpaces.DynamicQuery.Silverlight_2012.1.930.0_653e_1E0659BAD1976663|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|421453946929FAE1|EntitySpaces.DynamicQuery.WP7_2012.1.930.0_L_21998d1847_042A7D1053EA11C1|Component contains no installation objects
0004A086|BLD:W0135|0000|421453946929FAE1|EntitySpaces.DynamicQuery.WP7_2012.1.930.0_L_21998d1847_042A7D1053EA11C1|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|AC31AD50DEE4931D|EntitySpaces.DynamicQuery_2012.1.930.0_653e033684908f9c_DE7ECBC92CD69BEC|Component contains no installation objects
0004A086|BLD:W0135|0000|AC31AD50DEE4931D|EntitySpaces.DynamicQuery_2012.1.930.0_653e033684908f9c_DE7ECBC92CD69BEC|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|9C8A18A37E5A2D39|EntitySpaces.DynamicQuery_2012.1.930.0_653e033684908f9c_AD85C65B2E2B99C8|Component contains no installation objects
0004A086|BLD:W0135|0000|9C8A18A37E5A2D39|EntitySpaces.DynamicQuery_2012.1.930.0_653e033684908f9c_AD85C65B2E2B99C8|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|3EBF4A98CE0FD8B3|EntitySpaces.DynamicQuery_2012.1.930.0_653e033684908f9c_CE727C758E399D78|Component contains no installation objects
0004A086|BLD:W0135|0000|3EBF4A98CE0FD8B3|EntitySpaces.DynamicQuery_2012.1.930.0_653e033684908f9c_CE727C758E399D78|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|1EC213D6ED24F46B|EntitySpaces.DynamicQuery_2012.1.930.0_653e033684908f9c_17A3778965F12D17|Component contains no installation objects
0004A086|BLD:W0135|0000|1EC213D6ED24F46B|EntitySpaces.DynamicQuery_2012.1.930.0_653e033684908f9c_17A3778965F12D17|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|7C6F282E81313916|EntitySpaces.DynamicQuery.WP7_2012.1.0.0_L_b70625d1d043_D9B525296F27F846|Component contains no installation objects
0004A086|BLD:W0135|0000|7C6F282E81313916|EntitySpaces.DynamicQuery.WP7_2012.1.0.0_L_b70625d1d043_D9B525296F27F846|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|624B6E06F090B1AD|EntitySpaces.DynamicQuery.CF_2012.1.930.0_653e033684908_F4230FA326E5E672|Component contains no installation objects
0004A086|BLD:W0135|0000|624B6E06F090B1AD|EntitySpaces.DynamicQuery.CF_2012.1.930.0_653e033684908_F4230FA326E5E672|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|9A53B534759E065F|EntitySpaces.DynamicQuery_2012.1.930.0_653e033684908f9c_232C6E1BD26457ED|Component contains no installation objects
0004A086|BLD:W0135|0000|9A53B534759E065F|EntitySpaces.DynamicQuery_2012.1.930.0_653e033684908f9c_232C6E1BD26457ED|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|0AB646915F138A8F|EntitySpaces.DynamicQuery.Silverlight_2012.1.930.0_653e_1E86C2AC09A8CC28|Component contains no installation objects
0004A086|BLD:W0135|0000|0AB646915F138A8F|EntitySpaces.DynamicQuery.Silverlight_2012.1.930.0_653e_1E86C2AC09A8CC28|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|397D1600266E98DF|EntitySpaces.DynamicQuery.WP7_2012.1.930.0_L_3615f96466_C5ED3146EA968BA7|Component contains no installation objects
0004A086|BLD:W0135|0000|397D1600266E98DF|EntitySpaces.DynamicQuery.WP7_2012.1.930.0_L_3615f96466_C5ED3146EA968BA7|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|EE0D3F8AC57D27E0|EntitySpaces.DynamicQuery_2012.1.930.0_653e033684908f9c_8E8116D2C71071A3|Component contains no installation objects
0004A086|BLD:W0135|0000|EE0D3F8AC57D27E0|EntitySpaces.DynamicQuery_2012.1.930.0_653e033684908f9c_8E8116D2C71071A3|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|4583B137420840AD|EntitySpaces.DynamicQuery_2012.1.930.0_653e033684908f9c_452EDF728E5FBEDD|Component contains no installation objects
0004A086|BLD:W0135|0000|4583B137420840AD|EntitySpaces.DynamicQuery_2012.1.930.0_653e033684908f9c_452EDF728E5FBEDD|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|80C5186A1F845EFD|EntitySpaces.DynamicQuery_2012.1.930.0_653e033684908f9c_77A8CE66EC2F0864|Component contains no installation objects
0004A086|BLD:W0135|0000|80C5186A1F845EFD|EntitySpaces.DynamicQuery_2012.1.930.0_653e033684908f9c_77A8CE66EC2F0864|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|4846DC7C67CFD928|EntitySpaces.Interfaces_2012.1.930.0_653e033684908f9c_M_49C3CCA4010BA228|Component contains no installation objects
0004A086|BLD:W0135|0000|4846DC7C67CFD928|EntitySpaces.Interfaces_2012.1.930.0_653e033684908f9c_M_49C3CCA4010BA228|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|05DDFB1D1F8C9C56|EntitySpaces.DynamicQuery_2012.1.930.0_653e033684908f9c_71F7C1349E708DA4|Component contains no installation objects
0004A086|BLD:W0135|0000|05DDFB1D1F8C9C56|EntitySpaces.DynamicQuery_2012.1.930.0_653e033684908f9c_71F7C1349E708DA4|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|5E671A61E449E100|EntitySpaces.Interfaces_2012.1.930.0_653e033684908f9c_M_654171F35FDD3D3F|Component contains no installation objects
0004A086|BLD:W0135|0000|5E671A61E449E100|EntitySpaces.Interfaces_2012.1.930.0_653e033684908f9c_M_654171F35FDD3D3F|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|549000EBBA4201F6|EntitySpaces.DynamicQuery.CF_2012.1.930.0_653e033684908_EC8585B7B688AC14|Component contains no installation objects
0004A086|BLD:W0135|0000|549000EBBA4201F6|EntitySpaces.DynamicQuery.CF_2012.1.930.0_653e033684908_EC8585B7B688AC14|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|399D4B36D2BAED90|EntitySpaces.DynamicQuery_2012.1.930.0_653e033684908f9c_698887FC650458D5|Component contains no installation objects
0004A086|BLD:W0135|0000|399D4B36D2BAED90|EntitySpaces.DynamicQuery_2012.1.930.0_653e033684908f9c_698887FC650458D5|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|296801C04A4B469B|EntitySpaces.Interfaces.CF_2012.1.930.0_653e033684908f9_7F5A156AE9A91940|Component contains no installation objects
0004A086|BLD:W0135|0000|296801C04A4B469B|EntitySpaces.Interfaces.CF_2012.1.930.0_653e033684908f9_7F5A156AE9A91940|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|7C09BAE066577D6D|EntitySpaces.Interfaces_2012.1.930.0_653e033684908f9c_M_E6B4F8E161AE757C|Component contains no installation objects
0004A086|BLD:W0135|0000|7C09BAE066577D6D|EntitySpaces.Interfaces_2012.1.930.0_653e033684908f9c_M_E6B4F8E161AE757C|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|323C6C8ADA33B048|EntitySpaces.DynamicQuery_2012.1.930.0_653e033684908f9c_3A9F9CDE79FAE6B5|Component contains no installation objects
0004A086|BLD:W0135|0000|323C6C8ADA33B048|EntitySpaces.DynamicQuery_2012.1.930.0_653e033684908f9c_3A9F9CDE79FAE6B5|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|FC7653548DF6D26E|EntitySpaces.Interfaces_2012.1.930.0_653e033684908f9c_M_BBDAA9A236FCD02D|Component contains no installation objects
0004A086|BLD:W0135|0000|FC7653548DF6D26E|EntitySpaces.Interfaces_2012.1.930.0_653e033684908f9c_M_BBDAA9A236FCD02D|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|50CF1E06996ABE2D|EntitySpaces.DynamicQuery_2012.1.930.0_653e033684908f9c_590909C4BA695B17|Component contains no installation objects
0004A086|BLD:W0135|0000|50CF1E06996ABE2D|EntitySpaces.DynamicQuery_2012.1.930.0_653e033684908f9c_590909C4BA695B17|.Net assembly must have .Net assembly file as its manifest
00046057|BLD:Q0088|0000|FDB18B35852F44C7|EntitySpaces.Interfaces_2012.1.930.0_653e033684908f9c_A_0A3A4656E14D31FC|Component contains no installation objects
0004A086|BLD:W0135|0000|FDB18B35852F44C7|EntitySpaces.Interfaces_2012.1.930.0_653e033684908f9c_A_0A3A4656E14D31FC|.Net assembly must have .Net assembly file as its manifest
